INFO 2025-03-19 14:54:05,421 autoreload 15272 19432 Watching for file changes with StatReloader
WARNING 2025-03-19 14:54:39,816 log 15272 12180 Unauthorized: /api/v1/parking/parking-lots/
WARNING 2025-03-19 14:54:39,819 log 15272 12532 Unauthorized: /api/v1/parking/reservations/
WARNING 2025-03-19 14:54:39,820 log 15272 19676 Unauthorized: /api/v1/users/users/
WARNING 2025-03-19 14:54:39,821 log 15272 20124 Unauthorized: /api/v1/vehicles/vehicles/
WARNING 2025-03-19 14:54:39,821 basehttp 15272 19676 "GET /api/v1/users/users/ HTTP/1.1" 401 58
WARNING 2025-03-19 14:54:39,822 basehttp 15272 12532 "GET /api/v1/parking/reservations/ HTTP/1.1" 401 58
WARNING 2025-03-19 14:54:39,822 basehttp 15272 12180 "GET /api/v1/parking/parking-lots/ HTTP/1.1" 401 58
WARNING 2025-03-19 14:54:39,822 basehttp 15272 20124 "GET /api/v1/vehicles/vehicles/ HTTP/1.1" 401 58
WARNING 2025-03-19 14:54:39,825 log 15272 19676 Unauthorized: /api/v1/users/users/
WARNING 2025-03-19 14:54:39,826 log 15272 12180 Unauthorized: /api/v1/parking/parking-lots/
WARNING 2025-03-19 14:54:39,827 log 15272 20124 Unauthorized: /api/v1/vehicles/vehicles/
WARNING 2025-03-19 14:54:39,827 log 15272 12532 Unauthorized: /api/v1/parking/reservations/
WARNING 2025-03-19 14:54:39,828 basehttp 15272 19676 "GET /api/v1/users/users/ HTTP/1.1" 401 58
WARNING 2025-03-19 14:54:39,828 basehttp 15272 20124 "GET /api/v1/vehicles/vehicles/ HTTP/1.1" 401 58
WARNING 2025-03-19 14:54:39,829 basehttp 15272 12180 "GET /api/v1/parking/parking-lots/ HTTP/1.1" 401 58
WARNING 2025-03-19 14:54:39,830 basehttp 15272 12532 "GET /api/v1/parking/reservations/ HTTP/1.1" 401 58
INFO 2025-03-19 14:54:52,080 basehttp 15272 12532 "OPTIONS /api/v1/users/login/ HTTP/1.1" 200 0
INFO 2025-03-19 14:54:52,536 basehttp 15272 12532 "POST /api/v1/users/login/ HTTP/1.1" 200 751
INFO 2025-03-19 14:54:52,541 basehttp 15272 12532 "OPTIONS /api/v1/users/users/me/ HTTP/1.1" 200 0
WARNING 2025-03-19 14:54:52,543 log 15272 12532 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 14:54:52,544 basehttp 15272 12532 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 14:56:00,196 basehttp 15272 12532 "OPTIONS /api/v1/users/register/ HTTP/1.1" 200 0
INFO 2025-03-19 14:56:00,682 basehttp 15272 12532 "POST /api/v1/users/register/ HTTP/1.1" 201 755
INFO 2025-03-19 14:56:05,188 basehttp 15272 12532 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 14:56:05,193 log 15272 12532 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 14:56:05,193 basehttp 15272 12532 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 14:56:10,538 basehttp 15272 12532 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 14:56:10,545 log 15272 12532 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 14:56:10,545 basehttp 15272 12532 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 14:56:21,665 basehttp 15272 12532 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 14:56:21,671 log 15272 12532 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 14:56:21,672 basehttp 15272 12532 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
WARNING 2025-03-19 14:56:25,228 log 15272 10692 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 14:56:25,229 basehttp 15272 10692 "GET /api/v1/users/users/me/ HTTP/1.1" 401 10054
INFO 2025-03-19 14:56:25,274 basehttp 15272 10692 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-03-19 14:56:25,277 basehttp 15272 14108 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
